open;high;low;close;volume;marketCap;timestamp
1.1212733768;1.124415661;1.1212733768;1.1237399477;530525.28;43544128.93;"2023-04-27T23:59:59.999Z"
1.1241811157;1.128055676;1.1166651043;1.1231748724;542845.9;43522232.66;"2023-04-27T23:59:59.999Z"
1.1230052819;1.126923168;1.1210559076;1.1240070016;543159.7;43554477.07;"2023-04-27T23:59:59.999Z"
1.1240329869;1.127260967;1.121168886;1.1255877426;543278.46;43615729.66;"2023-04-27T23:59:59.999Z"
1.1254859559;1.1365710018;1.1252878264;1.1363565767;542860.63;44033014.36;"2023-04-27T23:59:59.999Z"
1.1364391944;1.1400739795;1.1363566146;1.1368953574;524155.21;44053891.73;"2023-04-27T23:59:59.999Z"
1.1365983782;1.1369313686;1.1326570151;1.1367961043;511145.43;44050045.73;"2023-04-27T23:59:59.999Z"
1.1367565775;1.1367872451;1.1288120506;1.1291730238;500279.7;43754656.74;"2023-04-27T23:59:59.999Z"
1.1291179065;1.136434641;1.1289474475;1.1342625777;491606.77;43951873.35;"2023-04-27T23:59:59.999Z"
1.1340799644;1.1367038675;1.1315593596;1.1315593596;487116.21;43847125.56;"2023-04-27T23:59:59.999Z"
1.131475328;1.1317183393;1.1225502123;1.1252027305;471545.49;43600810.66;"2023-04-28T23:59:59.999Z"
1.125297062;1.1301636231;1.125297062;1.1286602292;462601.96;43734786.29;"2023-04-28T23:59:59.999Z"
1.1286360859;1.1286360859;1.1240192228;1.1275984537;447313.5;43693643.21;"2023-04-28T23:59:59.999Z"
1.1275205642;1.1308860414;1.1269513207;1.1279525525;448672;43707364.29;"2023-04-28T23:59:59.999Z"
1.12795733;1.1298856464;1.1276406152;1.1287401204;442354.35;43737881.97;"2023-04-28T23:59:59.999Z"
1.1285643506;1.1303003497;1.1279178256;1.1279178256;439243.74;43706018.63;"2023-04-28T23:59:59.999Z"
1.1278151732;1.1331958758;1.1228542529;1.1234482438;430162.28;43532825.48;"2023-04-28T23:59:59.999Z"
1.1235175788;1.1259561297;1.1174781734;1.123114292;428083.86;43519885.09;"2023-04-28T23:59:59.999Z"
1.1228483484;1.1273737748;1.1216592837;1.1246203667;420704.64;43578244.32;"2023-04-28T23:59:59.999Z"
1.1247933392;1.1248998304;1.1090958169;1.1090958169;449296.94;42976678.99;"2023-04-28T23:59:59.999Z"
1.1092810443;1.117184653;1.1089296585;1.1137565438;442658.02;43157278.84;"2023-04-28T23:59:59.999Z"
1.1137775149;1.1145520096;1.1103866227;1.1137662202;437966.27;43157653.79;"2023-04-28T23:59:59.999Z"
1.1139617854;1.1166703692;1.1131326605;1.116420036;400293.39;43260487.26;"2023-04-28T23:59:59.999Z"
1.1163926859;1.1163926859;1.1091749203;1.1142301645;400649.13;43175631.29;"2023-04-28T23:59:59.999Z"
1.1144873314;1.1167458658;1.1129331343;1.1139821367;389986.67;43166020.15;"2023-04-28T23:59:59.999Z"
1.113706422;1.1143290275;1.1046511248;1.1076326548;388147.16;42919982.22;"2023-04-28T23:59:59.999Z"
1.1095246767;1.115077203;1.1070270322;1.1150144494;383538.58;43206021.49;"2023-04-28T23:59:59.999Z"
1.1137451549;1.1151801646;1.1071159642;1.1149655447;388874.36;43204126.46;"2023-04-28T23:59:59.999Z"
1.1147280128;1.1149789757;1.1076699818;1.1094645306;388633.27;42990966.04;"2023-04-28T23:59:59.999Z"
